track_id,danceability,energy,acousticness,valence,tempo,loudness
3LoDeIbiR12sAznmpNEmKA,0.323,0.978,0.0422,0.168,134.222,-3.841
6jjASY7DtqLdM0zJbAQcnX,0.363,0.873,0.0179,0.559,122.887,-5.216
2mKj8Em0GLFu8I78yM1CfU,0.258,0.932,0.0467,0.334,145.582,-5.194
1sRWDB2Db5mZVealHeNYJt,0.365,0.943,0.0121,0.581,137.572,-5.154
6FAF8l0j91yX6SwkQNhrm7,0.197,0.954,0.00502,0.475,145.102,-3.687
6ToM0uwxtPKo9CMpbPGYvM,0.421,0.751,0.2,0.789,89.839,-9.584
2Xdc6qyaFBJZ8QW1KhpVci,0.679,0.443,0.33,0.609,115.843,-7.376
0gWvVB4bGvADocoPMEDy3K,0.313,0.42,0.797,0.339,178.711,-9.806
7mc2TP4Vzuyw2vNf1bLW9f,0.583,0.675,0.316,0.693,114.208,-7.126
0JNZGIavoUrdup1NsgJOQs,0.568,0.645,0.543,0.901,170.676,-8.363
5uvosCdMlFdTXhoazkTI5R,0.413,0.725,0.369,0.44,124.618,-5.787
03By6gD02qhtvIQiK8KidK,0.476,0.612,0.287,0.909,177.233,-7.01
6vCLIvOIabRk1XQfMb6RXi,0.396,0.707,0.0257,0.843,148.814,-7.989
09ezgACZuwWZt6CtQSSLRG,0.41,0.218,0.902,0.0755,72.081,-12.544
4pxHVL0syMQwYK3BxDaTIs,0.414,0.554,0.00243,0.531,149.244,-7.68
5UgT7w6zVZjP3oyawMzbiK,0.347,0.302,0.163,0.0332,105.702,-12.104
574y1r7o2tRA009FW0LE7v,0.592,0.0195,0.361,0.0313,119.504,-33.35
2ctvdKmETyOzPb2GiJJT53,0.431,0.373,0.389,0.253,128.153,-15.142
73OIUNKRi2y24Cu9cOLrzM,0.389,0.563,0.65,0.134,165.393,-21.191
3TO7bbrUKrOSPGRTB5MeCz,0.359,0.48,0.521,0.355,120.285,-11.79
2TjdnqlpwOjhijHCwHCP2d,0.274,0.217,0.767,0.181,116.334,-13.814
0vFOzaXqZHahrZp6enQwQb,0.468,0.536,0.024,0.785,126.256,-10.422
1TKTiKp3zbNgrBH2IwSwIx,0.357,0.302,0.862,0.135,72.518,-14.526
6FBPOJLxUZEair6x4kLDhf,0.277,0.672,0.197,0.505,150.587,-12.582
05uGBKRCuePsf43Hfm0JwX,0.324,0.265,0.0732,0.208,133.568,-13.398
1tDWVeCR9oWGX8d5J9rswk,0.359,0.577,0.0589,0.141,68.064,-10.804
272Z4tzaSMMcgrZ0R494S2,0.422,0.814,0.118,0.411,147.065,-7.365
6zCBk93V8M7fPriZj9i4dd,0.86,0.6,0.229,0.779,142.195,-9.103
4UcCvuacrweynfWohap8NR,0.396,0.31,0.622,0.225,133.862,-11.324
1wP1qnWy0cZWxnbWkzf9La,0.343,0.718,0.0585,0.452,77.772,-7.632
0iI8LriXKjg47IxjNCWuwz,0.687,0.555,0.495,0.821,118.285,-11.461
5UoBmpb4VHNBbKjxmL8WGe,0.38,0.535,0.21,0.328,143.592,-9.127
0KkXMzaRaXL8AyChkWbYCx,0.477,0.654,0.121,0.571,148.143,-10.408
1s20rDPeaWhdDRZGVXOlb2,0.478,0.078,0.876,0.105,120.754,-16.979
3tlIFVwnp2lRfjRaSYxtT0,0.356,0.965,0.357,0.332,115.773,-6.257
2Gm3IpOsWVU4KE5zByJ5lE,0.304,0.923,0.603,0.382,149.125,-4.905
2D3HfAqy0vPNg18h5OGJ5B,0.662,0.657,0.203,0.438,123.995,-6.847
16Mv1ceLVVggvNxBiHBQ2m,0.396,0.597,0.7,0.239,135.373,-6.689
2THxr18XpMdpHB7dM4sG5p,0.294,0.841,0.766,0.0661,97.369,-5.027
2gnscfzU8qN5D0yxMeH4cH,0.599,0.77,0.369,0.572,117.558,-5.314
35j1EQS5Qy3jTkhP9n9Nc6,0.393,0.44,0.712,0.186,152.542,-6.903
5FgMmwwET9HwiLO1CNKxaa,0.35,0.683,0.498,0.394,154.981,-7.59
30HnQldRdAg1UAX4CGWXyg,0.305,0.367,0.876,0.295,64.525,-14.974
54RMOJCF0kQ8FpXZcivxhV,0.22,0.907,0.0167,0.279,97.095,-5.892
0DdHuzYuo9vpF9F7T6CsgO,0.518,0.649,0.834,0.529,132.333,-12.781
2e80bWYxAGIUO3HFklUBW6,0.64,0.386,0.877,0.873,133.76,-13.829
6KwHMEjChuDsaTtnv5xntA,0.757,0.565,0.865,0.967,136.466,-13.777
5W313wSaCL6Tp0SZuvjkdA,0.466,0.135,0.908,0.496,119.681,-19.083
5IP0alz84x3MGmg4IuXggH,0.573,0.255,0.888,0.876,172.803,-16.105
